frame,urdu,english,punjabi,punjabi_gur
Conditional,اگر استاد نے دروازہ الٹا دیا تو سب خوش نہیں ہوں گے,if the teacher flipped the door then everyone will not be happy,جے استاد نے بوہا الٹا دتا تاں سب خوش نہیں ہون گے,ਜੇ ਉਸਤਾਦ ਨੇ ਬੂਹਾ ਉਲਟਾ ਦਿੱਤਾ ਤਾਂ ਸਭ ਖੁਸ਼ ਨਹੀਂ ਹੋਣਗੇ
Conditional,اگر ثنا نے دروازہ گرا دیا تو جھگڑا نہ ہو جائے,if Sana dropped the door then there might be a fight,جے ثنا نے بوہا ڈھا دِتا تاں جھگڑا نہ ہو جاوے,ਜੇ ਸਨਾ ਨੇ ਬੂਹਾ ਢਾਹ ਦਿੱਤਾ ਤਾਂ ਝਗੜਾ ਨਾ ਹੋ ਜਾਵੇ
Conditional,اگر رانی نے قلم کھسکا دیا تو وہ ناراض نہ ہو جائے,if the queen moved the pen then he might get upset,جے رانی نے قلم کھسکا دتا تاں اوہ ناراض نہ ہو جاوے,ਜੇ ਰਾਨੀ ਨੇ ਕਲਮ ਖਸਕਾ ਦਿੱਤਾ ਤਾਂ ਉਹ ਨਾਰਾਜ਼ ਨਾ ਹੋ ਜਾਵੇ
Conditional,اگر طالبہ نے صراحی جلا دی تو کام مکمل نہ ہو گا,if the student burned the pitcher then the work might be completed,جے شاگرد نے صراحی ساڑ دِتی تاں کم مکمل نہ ہو گا,ਜੇ ਸ਼ਾਗਿਰਦ ਨੇ ਸੁਰਾਹੀ ਸਾੜ ਦਿੱਤੀ ਤਾਂ ਕੰਮ ਮੁਕੰਮਲ ਨਾ ਹੋਵੇਗਾ
Conditional,اگر لڑکے نے گلدان جلا دیا تو جھگڑا ہو جائے گا,if the boy burned the vase then there will be a fight,جے منڈے نے گلدان ساڑ دِتا تاں جھگڑا ہو جاوے گا,ਜੇ ਮੁੰਡੇ ਨੇ ਗੁਲਦਾਨ ਸਾੜ ਦਿੱਤਾ ਤਾਂ ਝਗੜਾ ਹੋ ਜਾਵੇਗਾ
Conditional,اگر علی نے کھلونا توڑ دیا تو سب خوش ہوں گے,if Ali broke the toy then everyone will be happy,جے علی نے کھڈونا توڑ دِتا تاں سب خوش ہون گے,ਜੇ ਅਲੀ ਨੇ ਖਿਡੌਣਾ ਤੋੜ ਦਿੱਤਾ ਤਾਂ ਸਭ ਖੁਸ਼ ਹੋਣਗੇ
Conditional,اگر احمد نے کپ گندا کر دیا تو جھگڑا ہو جائے گا,if Ahmed dirtied the cup then there will be a fight,جے احمد نے کپ گندا کر دتا تاں جھگڑا ہو جاوے گا,ਜੇ ਅਹਮਦ ਨੇ ਕਪ ਗੰਦਾ ਕਰ ਦਿੱਤਾ ਤਾਂ ਝਗੜਾ ਹੋ ਜਾਵੇਗਾ
Conditional,اگر احمد نے گڑیا توڑ دی تھی تو کام مکمل نہیں ہو گا,if Ahmed broke the doll then the work will not be completed,جے احمد نے گڈی توڑ دِتی سی تاں کم مکمل نہیں ہو گا,ਜੇ ਅਹਮਦ ਨੇ ਗੱਡੀ ਤੋੜ ਦਿੱਤੀ ਸੀ ਤਾਂ ਕੰਮ ਮੁਕੰਮਲ ਨਹੀਂ ਹੋਵੇਗਾ
Conditional,اگر استاد نے کتاب پکڑ لی تو ہم کامیاب نہیں ہوں گے,if the teacher caught the book then we will not be successful,جے استاد نے کتاب پھڑ لئی تاں اساں کامیاب نہیں ہون گے,ਜੇ ਉਸਤਾਦ ਨੇ ਕਿਤਾਬ ਫੜ ਲਈ ਤਾਂ ਅਸੀਂ ਕਾਮਯਾਬ ਨਹੀਂ ਹੋਵਾਂਗੇ
Conditional,اگر ثنا نے چابی جلا دی تو وہ ناکام ہو جائے گا,if Sana burned the key then he will fail,جے ثنا نے کنجی ساڑ دِتی تاں اوہ ناکام ہو جاوے گا,ਜੇ ਸਨਾ ਨੇ ਕੁੰਜੀ ਸਾੜ ਦਿੱਤੀ ਤਾਂ ਉਹ ਨਾਕਾਮ ਹੋ ਜਾਵੇਗਾ
Conditional,اگر علی نے پنسل چھوڑ دی تو معاملہ خراب نہ ہو جائے,if Ali let go of the pencil then the matter might worsen,جے علی نے پنسل چھڈ دِتی تاں معاملہ خراب نہ ہو جاوے,ਜੇ ਅਲੀ ਨੇ ਪੈਨਸਿਲ ਛੱਡ ਦਿੱਤੀ ਤਾਂ ਮਾਮਲਾ ਖਰਾਬ ਨਾ ਹੋ ਜਾਵੇ
Conditional,اگر لڑکے نے کتاب توڑ دی تھی تو کام مکمل نہ ہو گا,if the boy broke the book then the work might be completed,جے منڈے نے کتاب توڑ دِتی سی تاں کم مکمل نہ ہو گا,ਜੇ ਮੁੰਡੇ ਨੇ ਕਿਤਾਬ ਤੋੜ ਦਿੱਤੀ ਸੀ ਤਾਂ ਕੰਮ ਮੁਕੰਮਲ ਨਾ ਹੋਵੇਗਾ
Conditional,اگر لڑکی نے گاڑی جلا دی تو وہ ناکام ہو جائے گا,if the girl burned the car then he will fail,جے کُڑی نے گڈّی ساڑ دِتی تاں اوہ ناکام ہو جاوے گا,ਜੇ ਕੁੜੀ ਨੇ ਗੱਡੀ ਸਾੜ ਦਿੱਤੀ ਤਾਂ ਉਹ ਨਾਕਾਮ ਹੋ ਜਾਵੇਗਾ
Conditional,اگر علی نے گڑیا گرا دی تو گھر خالی نہیں ہو گا,if Ali dropped the doll then the house will not be empty,جے علی نے گڈی ڈھا دِتی تاں گھر خالی نہیں ہو گا,ਜੇ ਅਲੀ ਨੇ ਗੱਡੀ ਢਾਹ ਦਿੱਤੀ ਤਾਂ ਘਰ ਖਾਲੀ ਨਹੀਂ ਹੋਵੇਗਾ
Conditional,اگر رانی نے کھلونا کھسکا دیا تو وہ ناکام نہیں ہو گا,if the queen moved the toy then he might fail,جے رانی نے کھڈونا کھسکا دتا تاں اوہ ناکام نہیں ہو گا,ਜੇ ਰਾਨੀ ਨੇ ਖਿਡੌਣਾ ਖਸਕਾ ਦਿੱਤਾ ਤਾਂ ਉਹ ਨਾਕਾਮ ਨਹੀਂ ਹੋਵੇਗਾ
Conditional,اگر لڑکی نے گلدان گما دیا تو مسئلہ ہو جائے گا,if the girl lost the vase then there will be a problem,جے کُڑی نے گلدان گما دتا تاں مسئلہ ہو جاوے گا,ਜੇ ਕੁੜੀ ਨੇ ਗੁਲਦਾਨ ਗੁਆ ਦਿੱਤਾ ਤਾਂ ਮਸਲਾ ਹੋ ਜਾਵੇਗਾ
Conditional,اگر علی نے دروازہ گما دیا تو سب پریشان نہیں ہوں گے,if Ali lost the door then everyone will not be upset,جے علی نے بوہا گما دتا تاں سب پریشان نہیں ہون گے,ਜੇ ਅਲੀ ਨੇ ਬੂਹਾ ਗੁਆ ਦਿੱਤਾ ਤਾਂ ਸਭ ਪਰੇਸ਼ਾਨ ਨਹੀਂ ਹੋਣਗੇ
Conditional,اگر موٹو نے کپ گندا کر دیا تو سب خوش نہیں ہوں گے,if Motu dirtied the cup then everyone will not be happy,جے موٹو نے کپ گندا کر دتا تاں سب خوش نہیں ہون گے,ਜੇ ਮੋਟੂ ਨੇ ਕਪ ਗੰਦਾ ਕਰ ਦਿੱਤਾ ਤਾਂ ਸਭ ਖੁਸ਼ ਨਹੀਂ ਹੋਣਗੇ
Conditional,اگر طالبہ نے گڑیا جلا دی تو جھگڑا نہ ہو جائے,if the student burned the doll then there might be a fight,جے شاگرد نے گڈی ساڑ دِتی تاں جھگڑا نہ ہو جاوے,ਜੇ ਸ਼ਾਗਿਰਦ ਨੇ ਗੱਡੀ ਸਾੜ ਦਿੱਤੀ ਤਾਂ ਝਗੜਾ ਨਾ ਹੋ ਜਾਵੇ
Conditional,اگر لڑکے نے کپ گرا دیا تو کلاس منسوخ ہو جائے گی,if the boy dropped the cup then the class will be canceled,جے منڈے نے کپ ڈھا دِتا تاں کلاس منسوخ ہو جاوے گی,ਜੇ ਮੁੰਡੇ ਨੇ ਕਪ ਢਾਹ ਦਿੱਤਾ ਤਾਂ ਕਲਾਸ ਮੰਸੂਖ ਹੋ ਜਾਵੇਗੀ
Conditional,اگر رانی نے کھلونا گرا دیا تو ہم کامیاب نہیں ہوں گے,if the queen dropped the toy then we will not be successful,جے رانی نے کھڈونا ڈھا دِتا تاں اساں کامیاب نہیں ہون گے,ਜੇ ਰਾਨੀ ਨੇ ਖਿਡੌਣਾ ਢਾਹ ਦਿੱਤਾ ਤਾਂ ਅਸੀਂ ਕਾਮਯਾਬ ਨਹੀਂ ਹੋਵਾਂਗੇ
Conditional,اگر ببلو نے دروازہ پکڑ لیا تو وہ ناراض ہو جائے گا,if Bablu caught the door then he will get upset,جے ببلو نے بوہا پھڑ لیا تاں اوہ ناراض ہو جاوے گا,ਜੇ ਬਬਲੂ ਨੇ ਬੂਹਾ ਫੜ ਲਿਆ ਤਾਂ ਉਹ ਨਾਰਾਜ਼ ਹੋ ਜਾਵੇਗਾ
Conditional,اگر لڑکے نے گلدان الٹا دیا تو کام مکمل نہیں ہو گا,if the boy flipped the vase then the work will not be completed,جے منڈے نے گلدان الٹا دتا تاں کم مکمل نہیں ہو گا,ਜੇ ਮੁੰਡੇ ਨੇ ਗੁਲਦਾਨ ਉਲਟਾ ਦਿੱਤਾ ਤਾਂ ਕੰਮ ਮੁਕੰਮਲ ਨਹੀਂ ਹੋਵੇਗਾ
Conditional,اگر موٹو نے صراحی پکڑ لی تو معاملہ خراب ہو جائے گا,if Motu caught the pitcher then the matter will worsen,جے موٹو نے صراحی پھڑ لئی تاں معاملہ خراب ہو جاوے گا,ਜੇ ਮੋਟੂ ਨੇ ਸੁਰਾਹੀ ਫੜ ਲਈ ਤਾਂ ਮਾਮਲਾ ਖਰਾਬ ਹੋ ਜਾਵੇਗਾ
Conditional,اگر راجہ نے گڑیا کھسکا دی تو کلاس منسوخ ہو جائے گی,if the king moved the doll then the class will be canceled,جے راجا نے گڈی کھسکا دتی تاں کلاس منسوخ ہو جاوے گی,ਜੇ ਰਾਜਾ ਨੇ ਗੱਡੀ ਖਸਕਾ ਦਿੱਤੀ ਤਾਂ ਕਲਾਸ ਮੰਸੂਖ ਹੋ ਜਾਵੇਗੀ
Conditional,اگر فاطمہ نے کھلونا کھسکا دیا تو گھر خالی نہ ہو گا,if Fatima moved the toy then the house will not be empty,جے فاطمہ نے کھڈونا کھسکا دتا تاں گھر خالی نہ ہو گا,ਜੇ ਫਾਤਿਮਾ ਨੇ ਖਿਡੌਣਾ ਖਸਕਾ ਦਿੱਤਾ ਤਾਂ ਘਰ ਖਾਲੀ ਨਾ ਹੋਵੇਗਾ
Conditional,اگر ببلو نے گاڑی الٹا دی تو مسئلہ نہ ہو جائے,if Bablu flipped the car then the matter might get worse,جے ببلو نے گڈّی الٹا دتی تاں مسئلہ نہ ہو جاوے,ਜੇ ਬਬਲੂ ਨੇ ਗੱਡੀ ਉਲਟਾ ਦਿੱਤੀ ਤਾਂ ਮਸਲਾ ਨਾ ਹੋ ਜਾਵੇ
Conditional,اگر فاطمہ نے کپ گندا کر دیا تو مسئلہ نہ ہو جائے,if Fatima dirtied the cup then the matter might get worse,جے فاطمہ نے کپ گندا کر دتا تاں مسئلہ نہ ہو جاوے,ਜੇ ਫਾਤਿਮਾ ਨੇ ਕਪ ਗੰਦਾ ਕਰ ਦਿੱਤਾ ਤਾਂ ਮਸਲਾ ਨਾ ਹੋ ਜਾਵੇ
Conditional,اگر استاد نے پنسل گندی کر دی تو گھر خالی نہیں ہو گا,if the teacher dirtied the pencil then the house will not be empty,جے استاد نے پنسل گندی کر دتی تاں گھر خالی نہیں ہو گا,ਜੇ ਉਸਤਾਦ ਨੇ ਪੈਨਸਿਲ ਗੰਦੀ ਕਰ ਦਿੱਤੀ ਤਾਂ ਘਰ ਖਾਲੀ ਨਹੀਂ ਹੋਵੇਗਾ
Conditional,اگر علی نے صراحی چھوڑ دی تو سب پریشان نہیں ہوں گے,if Ali let go of the pitcher then everyone will not be upset,جے علی نے صراحی چھڈ دِتی تاں سب پریشان نہیں ہون گے,ਜੇ ਅਲੀ ਨੇ ਸੁਰਾਹੀ ਛੱਡ ਦਿੱਤੀ ਤਾਂ ਸਭ ਪਰੇਸ਼ਾਨ ਨਹੀਂ ਹੋਣਗੇ
Conditional,اگر لڑکی نے صراحی جلا دی تو سب خوش نہ ہوں,if the girl burned the pitcher then everyone may get happy,جے کُڑی نے صراحی ساڑ دِتی تاں سب خوش نہ ہون,ਜੇ ਕੁੜੀ ਨੇ ਸੁਰਾਹੀ ਸਾੜ ਦਿੱਤੀ ਤਾਂ ਸਭ ਖੁਸ਼ ਨਾ ਹੋਣ
Conditional,اگر فاطمہ نے گلدان گرا دیا تو گھر خالی نہیں ہو گا,if Fatima dropped the vase then the house will not be empty,جے فاطمہ نے گلدان ڈھا دِتا تاں گھر خالی نہیں ہو گا,ਜੇ ਫਾਤਿਮਾ ਨੇ ਗੁਲਦਾਨ ਢਾਹ ਦਿੱਤਾ ਤਾਂ ਘਰ ਖਾਲੀ ਨਹੀਂ ਹੋਵੇਗਾ
Conditional,اگر فاطمہ نے گاڑی الٹا دی تو معاملہ خراب نہ ہو جائے,if Fatima flipped the car then the matter might worsen,جے فاطمہ نے گڈّی الٹا دتی تاں معاملہ خراب نہ ہو جاوے,ਜੇ ਫਾਤਿਮਾ ਨੇ ਗੱਡੀ ਉਲਟਾ ਦਿੱਤੀ ਤਾਂ ਮਾਮਲਾ ਖਰਾਬ ਨਾ ਹੋ ਜਾਵੇ
Conditional,اگر طالبہ نے موبائل پکڑ لیا تو وہ ناراض نہ ہو جائے,if the student caught the phone then he might get upset,جے شاگرد نے موبائل پھڑ لیا تاں اوہ ناراض نہ ہو جاوے,ਜੇ ਸ਼ਾਗਿਰਦ ਨੇ ਮੋਬਾਈਲ ਫੜ ਲਿਆ ਤਾਂ ਉਹ ਨਾਰਾਜ਼ ਨਾ ਹੋ ਜਾਵੇ
Conditional,اگر ثنا نے قلم گما دیا تو وہ ناراض نہیں ہو گا,if Sana lost the pen then he will not be upset,جے ثنا نے قلم گما دتا تاں اوہ ناراض نہیں ہو گا,ਜੇ ਸਨਾ ਨੇ ਕਲਮ ਗੁਆ ਦਿੱਤਾ ਤਾਂ ਉਹ ਨਾਰਾਜ਼ ਨਹੀਂ ਹੋਵੇਗਾ
Conditional,اگر لڑکی نے گاڑی گما دی تو سب خوش نہیں ہوں گے,if the girl lost the car then everyone will not be happy,جے کُڑی نے گڈّی گما دتی تاں سب خوش نہیں ہون گے,ਜੇ ਕੁੜੀ ਨੇ ਗੱਡੀ ਗੁਆ ਦਿੱਤੀ ਤਾਂ ਸਭ ਖੁਸ਼ ਨਹੀਂ ਹੋਣਗੇ
Conditional,اگر ببلو نے کھلونا چھوڑ دیا تو جھگڑا نہ ہو جائے,if Bablu released the toy then there might be a fight,جے ببلو نے کھڈونا چھڈ دِتا تاں جھگڑا نہ ہو جاوے,ਜੇ ਬਬਲੂ ਨੇ ਖਿਡੌਣਾ ਛੱਡ ਦਿੱਤਾ ਤਾਂ ਝਗੜਾ ਨਾ ਹੋ ਜਾਵੇ
Conditional,اگر راجہ نے صراحی گما دی تو مسئلہ نہیں ہو گا,if the king lost the pitcher then the matter will not worsen,جے راجا نے صراحی گما دتی تاں مسئلہ نہیں ہو گا,ਜੇ ਰਾਜਾ ਨੇ ਸੁਰਾਹੀ ਗੁਆ ਦਿੱਤੀ ਤਾਂ ਮਸਲਾ ਨਹੀਂ ਹੋਵੇਗਾ
Conditional,اگر استاد نے گلدان گرا دیا تو کام مکمل نہیں ہو گا,if the teacher dropped the vase then the work will not be completed,جے استاد نے گلدان ڈھا دِتا تاں کم مکمل نہیں ہو گا,ਜੇ ਉਸਤਾਦ ਨੇ ਗੁਲਦਾਨ ਢਾਹ ਦਿੱਤਾ ਤਾਂ ਕੰਮ ਮੁਕੰਮਲ ਨਹੀਂ ਹੋਵੇਗਾ
Conditional,اگر رانی نے گلدان کھسکا دیا تو وہ ناراض نہیں ہو گا,if the queen moved the vase then he will not be upset,جے رانی نے گلدان کھسکا دتا تاں اوہ ناراض نہیں ہو گا,ਜੇ ਰਾਨੀ ਨੇ ਗੁਲਦਾਨ ਖਸਕਾ ਦਿੱਤਾ ਤਾਂ ਉਹ ਨਾਰਾਜ਼ ਨਹੀਂ ਹੋਵੇਗਾ
Conditional,اگر لڑکی نے کھلونا جلا دیا تو گھر خالی ہو جائے گا,if the girl burned the toy then the house will become empty,جے کُڑی نے کھڈونا ساڑ دِتا تاں گھر خالی ہو جاوے گا,ਜੇ ਕੁੜੀ ਨੇ ਖਿਡੌਣਾ ਸਾੜ ਦਿੱਤਾ ਤਾਂ ਘਰ ਖਾਲੀ ਹੋ ਜਾਵੇਗਾ
Conditional,اگر احمد نے گاڑی گما دی تو معاملہ خراب نہ ہو جائے,if Ahmed lost the car then the matter might worsen,جے احمد نے گڈّی گما دتی تاں معاملہ خراب نہ ہو جاوے,ਜੇ ਅਹਮਦ ਨੇ ਗੱਡੀ ਗੁਆ ਦਿੱਤੀ ਤਾਂ ਮਾਮਲਾ ਖਰਾਬ ਨਾ ਹੋ ਜਾਵੇ
Conditional,اگر موٹو نے چابی جلا دی تو کلاس منسوخ ہو جائے گی,if Motu burned the key then the class will be canceled,جے موٹو نے کنجی ساڑ دِتی تاں کلاس منسوخ ہو جاوے گی,ਜੇ ਮੋਟੂ ਨੇ ਕੁੰਜੀ ਸਾੜ ਦਿੱਤੀ ਤਾਂ ਕਲਾਸ ਮੰਸੂਖ ਹੋ ਜਾਵੇਗੀ
Conditional,اگر علی نے دروازہ گندا کر دیا تو سب خوش ہوں گے,if Ali dirtied the door then everyone will be happy,جے علی نے بوہا گندا کر دتا تاں سب خوش ہون گے,ਜੇ ਅਲੀ ਨੇ ਬੂਹਾ ਗੰਦਾ ਕਰ ਦਿੱਤਾ ਤਾਂ ਸਭ ਖੁਸ਼ ਹੋਣਗੇ
Conditional,اگر علی نے گلدان گندا کر دیا تو معاملہ خراب ہو جائے گا,if Ali dirtied the vase then the matter will worsen,جے علی نے گلدان گندا کر دتا تاں معاملہ خراب ہو جاوے گا,ਜੇ ਅਲੀ ਨੇ ਗੁਲਦਾਨ ਗੰਦਾ ਕਰ ਦਿੱਤਾ ਤਾਂ ਮਾਮਲਾ ਖਰਾਬ ਹੋ ਜਾਵੇਗਾ
Conditional,اگر ببلو نے صراحی چھوڑ دی تو مسئلہ نہ ہو جائے,if Bablu let go of the pitcher then the matter might get worse,جے ببلو نے صراحی چھڈ دِتی تاں مسئلہ نہ ہو جاوے,ਜੇ ਬਬਲੂ ਨੇ ਸੁਰਾਹੀ ਛੱਡ ਦਿੱਤੀ ਤਾਂ ਮਸਲਾ ਨਾ ਹੋ ਜਾਵੇ
Conditional,اگر ببلو نے گلدان جلا دیا تو گھر خالی ہو جائے گا,if Bablu burned the vase then the house will become empty,جے ببلو نے گلدان ساڑ دِتا تاں گھر خالی ہو جاوے گا,ਜੇ ਬਬਲੂ ਨੇ ਗੁਲਦਾਨ ਸਾੜ ਦਿੱਤਾ ਤਾਂ ਘਰ ਖਾਲੀ ਹੋ ਜਾਵੇਗਾ
Conditional,اگر لڑکے نے پنسل چھوڑ دی تو سب خوش نہیں ہوں گے,if the boy let go of the pencil then everyone will not be happy,جے منڈے نے پنسل چھڈ دِتی تاں سب خوش نہیں ہون گے,ਜੇ ਮੁੰਡੇ ਨੇ ਪੈਨਸਿਲ ਛੱਡ ਦਿੱਤੀ ਤਾਂ ਸਭ ਖੁਸ਼ ਨਹੀਂ ਹੋਣਗੇ
Conditional,اگر طالبہ نے کتاب پکڑ لی تو سب خوش نہ ہوں,if the student caught the book then everyone may get happy,جے شاگرد نے کتاب پھڑ لئی تاں سب خوش نہ ہون,ਜੇ ਸ਼ਾਗਿਰਦ ਨੇ ਕਿਤਾਬ ਫੜ ਲਈ ਤਾਂ ਸਭ ਖੁਸ਼ ਨਾ ਹੋਣ
Conditional,اگر راجہ نے چابی گرا دی تو وہ ناکام نہیں ہو گا,if the king dropped the key then he might fail,جے راجا نے کنجی ڈھا دِتی تاں اوہ ناکام نہیں ہو گا,ਜੇ ਰਾਜਾ ਨੇ ਕੁੰਜੀ ਢਾਹ ਦਿੱਤੀ ਤਾਂ ਉਹ ਨਾਕਾਮ ਨਹੀਂ ਹੋਵੇਗਾ
Conditional,اگر لڑکے نے چابی گما دی تو وہ ناراض نہ ہو جائے,if the boy lost the key then he might get upset,جے منڈے نے کنجی گما دتی تاں اوہ ناراض نہ ہو جاوے,ਜੇ ਮੁੰਡੇ ਨੇ ਕੁੰਜੀ ਗੁਆ ਦਿੱਤੀ ਤਾਂ ਉਹ ਨਾਰਾਜ਼ ਨਾ ਹੋ ਜਾਵੇ
Conditional,اگر علی نے کپ گندا کر دیا تو ہم کامیاب نہیں ہوں گے,if Ali dirtied the cup then we will not be successful,جے علی نے کپ گندا کر دتا تاں اساں کامیاب نہیں ہون گے,ਜੇ ਅਲੀ ਨੇ ਕਪ ਗੰਦਾ ਕਰ ਦਿੱਤਾ ਤਾਂ ਅਸੀਂ ਕਾਮਯਾਬ ਨਹੀਂ ਹੋਵਾਂਗੇ
Conditional,اگر رانی نے دروازہ گندا کر دیا تو جھگڑا نہیں ہو گا,if the queen dirtied the door then there will not be a fight,جے رانی نے بوہا گندا کر دتا تاں جھگڑا نہیں ہو گا,ਜੇ ਰਾਨੀ ਨੇ ਬੂਹਾ ਗੰਦਾ ਕਰ ਦਿੱਤਾ ਤਾਂ ਝਗੜਾ ਨਹੀਂ ਹੋਵੇਗਾ
Conditional,اگر فاطمہ نے چابی کھسکا دی تو سب خوش نہ ہوں,if Fatima moved the key then everyone may get happy,جے فاطمہ نے کنجی کھسکا دتی تاں سب خوش نہ ہون,ਜੇ ਫਾਤਿਮਾ ਨੇ ਕੁੰਜੀ ਖਸਕਾ ਦਿੱਤੀ ਤਾਂ ਸਭ ਖੁਸ਼ ਨਾ ਹੋਣ
Conditional,اگر لڑکی نے موبائل توڑ دیا تو کام مکمل ہو جائے گا,if the girl broke the phone then the work will be completed,جے کُڑی نے موبائل توڑ دِتا تاں کم مکمل ہو جاوے گا,ਜੇ ਕੁੜੀ ਨੇ ਮੋਬਾਈਲ ਤੋੜ ਦਿੱਤਾ ਤਾਂ ਕੰਮ ਮੁਕੰਮਲ ਹੋ ਜਾਵੇਗਾ
Conditional,اگر لڑکے نے پنسل گما دی تو مسئلہ نہیں ہو گا,if the boy lost the pencil then the matter will not worsen,جے منڈے نے پنسل گما دتی تاں مسئلہ نہیں ہو گا,ਜੇ ਮੁੰਡੇ ਨੇ ਪੈਨਸਿਲ ਗੁਆ ਦਿੱਤੀ ਤਾਂ ਮਸਲਾ ਨਹੀਂ ਹੋਵੇਗਾ
Conditional,اگر لڑکی نے گڑیا الٹا دی تو وہ ناکام ہو جائے گا,if the girl flipped the doll then he will fail,جے کُڑی نے گڈی الٹا دتی تاں اوہ ناکام ہو جاوے گا,ਜੇ ਕੁੜੀ ਨੇ ਗੱਡੀ ਉਲਟਾ ਦਿੱਤੀ ਤਾਂ ਉਹ ਨਾਕਾਮ ਹੋ ਜਾਵੇਗਾ
Relative,لڑکے جس نے گاڑی پکڑ لی,the boy who caught the car,منڈے جنّے گڈّی پھڑ لئی,ਮੁੰਡੇ ਜਿਨ੍ਹੇ ਗੱਡੀ ਫੜ ਲਈ
Relative,راجہ جس نے قلم الٹا دیا,the king who flipped the pen,راجا جنّے قلم الٹا دتا,ਰਾਜਾ ਜਿਨ੍ਹੇ ਕਲਮ ਉਲਟਾ ਦਿੱਤਾ
Relative,راجہ جس نے پنسل الٹا دی,the king who flipped the pencil,راجا جنّے پنسل الٹا دتی,ਰਾਜਾ ਜਿਨ੍ਹੇ ਪੈਨਸਿਲ ਉਲਟਾ ਦਿੱਤੀ
Relative,راجہ جس نے چابی چھوڑ دی,the king who let go of the key,راجا جنّے کنجی چھڈ دِتی,ਰਾਜਾ ਜਿਨ੍ਹੇ ਕੁੰਜੀ ਛੱਡ ਦਿੱਤੀ
Relative,فاطمہ جس نے گلدان توڑ دیا,Fatima who broke the vase,فاطمہ جنّے گلدان توڑ دِتا,ਫਾਤਿਮਾ ਜਿਨ੍ਹੇ ਗੁਲਦਾਨ ਤੋੜ ਦਿੱਤਾ
Relative,استاد جس نے پنسل چھوڑ دی,the teacher who let go of the pencil,استاد جنّے پنسل چھڈ دِتی,ਉਸਤਾਦ ਜਿਨ੍ਹੇ ਪੈਨਸਿਲ ਛੱਡ ਦਿੱਤੀ
Relative,ثنا جس نے کتاب گندی کر دی,Sana who dirtied the book,ثنا جنّے کتاب گندی کر دتی,ਸਨਾ ਜਿਨ੍ਹੇ ਕਿਤਾਬ ਗੰਦੀ ਕਰ ਦਿੱਤੀ
Relative,طالبہ جس نے گاڑی گندی کر دی,the student who dirtied the car,شاگرد جنّے گڈّی گندی کر دتی,ਸ਼ਾਗਿਰਦ ਜਿਨ੍ਹੇ ਗੱਡੀ ਗੰਦੀ ਕਰ ਦਿੱਤੀ
Relative,طالبہ جس نے گاڑی توڑ دی تھی,the student who broke the car,شاگرد جنّے گڈّی توڑ دِتی سی,ਸ਼ਾਗਿਰਦ ਜਿਨ੍ਹੇ ਗੱਡੀ ਤੋੜ ਦਿੱਤੀ ਸੀ
Relative,استاد جس نے چابی جلا دی,the teacher who burned the key,استاد جنّے کنجی ساڑ دِتی,ਉਸਤਾਦ ਜਿਨ੍ਹੇ ਕੁੰਜੀ ਸਾੜ ਦਿੱਤੀ
Relative,علی جس نے موبائل چھوڑ دیا,Ali who released the phone,علی جنّے موبائل چھڈ دِتا,ਅਲੀ ਜਿਨ੍ਹੇ ਮੋਬਾਈਲ ਛੱਡ ਦਿੱਤਾ
Relative,راجہ جس نے دروازہ گندا کر دیا,the king who dirtied the door,راجا جنّے بوہا گندا کر دتا,ਰਾਜਾ ਜਿਨ੍ਹੇ ਬੂਹਾ ਗੰਦਾ ਕਰ ਦਿੱਤਾ
Relative,ثنا جس نے دروازہ الٹا دیا,Sana who flipped the door,ثنا جنّے بوہا الٹا دتا,ਸਨਾ ਜਿਨ੍ਹੇ ਬੂਹਾ ਉਲਟਾ ਦਿੱਤਾ
Relative,موٹو جس نے گاڑی چھوڑ دی,Motu who let go of the car,موٹو جنّے گڈّی چھڈ دِتی,ਮੋਟੂ ਜਿਨ੍ਹੇ ਗੱਡੀ ਛੱਡ ਦਿੱਤੀ
Relative,احمد جس نے گاڑی توڑ دی تھی,Ahmed who broke the car,احمد جنّے گڈّی توڑ دِتی سی,ਅਹਮਦ ਜਿਨ੍ਹੇ ਗੱਡੀ ਤੋੜ ਦਿੱਤੀ ਸੀ
Relative,ببلو جس نے دروازہ گرا دیا,Bablu who dropped the door,ببلو جنّے بوہا ڈھا دِتا,ਬਬਲੂ ਜਿਨ੍ਹੇ ਬੂਹਾ ਢਾਹ ਦਿੱਤਾ
Relative,لڑکی جس نے دروازہ کھسکا دیا,the girl who moved the door,کُڑی جنّے بوہا کھسکا دتا,ਕੁੜੀ ਜਿਨ੍ਹੇ ਬੂਹਾ ਖਸਕਾ ਦਿੱਤਾ
Relative,موٹو جس نے صراحی گرا دی,Motu who dropped the pitcher,موٹو جنّے صراحی ڈھا دِتی,ਮੋਟੂ ਜਿਨ੍ਹੇ ਸੁਰਾਹੀ ਢਾਹ ਦਿੱਤੀ
Relative,رانی جس نے صراحی توڑ دی تھی,the queen who broke the pitcher,رانی جنّے صراحی توڑ دِتی سی,ਰਾਨੀ ਜਿਨ੍ਹੇ ਸੁਰਾਹੀ ਤੋੜ ਦਿੱਤੀ ਸੀ
