frame,urdu,english,punjabi,punjabi_gur,gold
Relative,موٹو جس نے چابی کھسکا دی,Motu who moved the key,موٹو جنّے کنجی کھسکا دتی,ਮੋਟੂ ਜਿਨ੍ਹੇ ਕੁੰਜੀ ਖਸਕਾ ਦਿੱਤੀ,VOL
Relative,لڑکے جس نے کپ جلا دیا,the boy who burned the cup,منڈے جنّے کپ ساڑ دِتا,ਮੁੰਡੇ ਜਿਨ੍ਹੇ ਕਪ ਸਾੜ ਦਿੱਤਾ,VOL
Relative,طالبہ جس نے دروازہ گما دیا,the student who lost the door,شاگرد جنّے بوہا گما دتا,ਸ਼ਾਗਿਰਦ ਜਿਨ੍ਹੇ ਬੂਹਾ ਗੁਆ ਦਿੱਤਾ,VOL
Relative,ثنا جس نے گڑیا جلا دی,Sana who burned the doll,ثنا جنّے گڈی ساڑ دِتی,ਸਨਾ ਜਿਨ੍ਹੇ ਗੱਡੀ ਸਾੜ ਦਿੱਤੀ,VOL
Relative,علی جس نے پنسل توڑ دی تھی,Ali who broke the pencil,علی جنّے پنسل توڑ دِتی سی,ਅਲੀ ਜਿਨ੍ਹੇ ਪੈਨਸਿਲ ਤੋੜ ਦਿੱਤੀ ਸੀ,VOL
Relative,علی جس نے کتاب گندی کر دی,Ali who dirtied the book,علی جنّے کتاب گندی کر دتی,ਅਲੀ ਜਿਨ੍ਹੇ ਕਿਤਾਬ ਗੰਦੀ ਕਰ ਦਿੱਤੀ,VOL
Relative,لڑکی جس نے کتاب گرا دی,the girl who dropped the book,کُڑی جنّے کتاب ڈھا دِتی,ਕੁੜੀ ਜਿਨ੍ਹੇ ਕਿਤਾਬ ਢਾਹ ਦਿੱਤੀ,VOL
Relative,لڑکے جس نے گاڑی جلا دی,the boy who burned the car,منڈے جنّے گڈّی ساڑ دِتی,ਮੁੰਡੇ ਜਿਨ੍ਹੇ ਗੱਡੀ ਸਾੜ ਦਿੱਤੀ,VOL
Relative,طالبہ جس نے صراحی گرا دی,the student who dropped the pitcher,شاگرد جنّے صراحی ڈھا دِتی,ਸ਼ਾਗਿਰਦ ਜਿਨ੍ਹੇ ਸੁਰਾਹੀ ਢਾਹ ਦਿੱਤੀ,VOL
Relative,رانی جس نے قلم گرا دیا,the queen who dropped the pen,رانی جنّے قلم ڈھا دِتا,ਰਾਨੀ ਜਿਨ੍ਹੇ ਕਲਮ ਢਾਹ ਦਿੱਤਾ,VOL
Relative,ببلو جس نے صراحی گرا دی,Bablu who dropped the pitcher,ببلو جنّے صراحی ڈھا دِتی,ਬਬਲੂ ਜਿਨ੍ਹੇ ਸੁਰਾਹੀ ਢਾਹ ਦਿੱਤੀ,VOL
Relative,رانی جس نے دروازہ پکڑ لیا,the queen who caught the door,رانی جنّے بوہا پھڑ لیا,ਰਾਨੀ ਜਿਨ੍ਹੇ ਬੂਹਾ ਫੜ ਲਿਆ,VOL
Relative,لڑکی جس نے موبائل کھسکا دیا,the girl who moved the phone,کُڑی جنّے موبائل کھسکا دتا,ਕੁੜੀ ਜਿਨ੍ਹੇ ਮੋਬਾਈਲ ਖਸਕਾ ਦਿੱਤਾ,VOL
Relative,راجہ جس نے دروازہ جلا دیا,the king who burned the door,راجا جنّے بوہا ساڑ دِتا,ਰਾਜਾ ਜਿਨ੍ਹੇ ਬੂਹਾ ਸਾੜ ਦਿੱਤਾ,VOL
Relative,فاطمہ جس نے صراحی پکڑ لی,Fatima who caught the pitcher,فاطمہ جنّے صراحی پھڑ لئی,ਫਾਤਿਮਾ ਜਿਨ੍ਹੇ ਸੁਰਾਹੀ ਫੜ ਲਈ,VOL
Relative,احمد جس نے کپ پکڑ لیا,Ahmed who caught the cup,احمد جنّے کپ پھڑ لیا,ਅਹਮਦ ਜਿਨ੍ਹੇ ਕਪ ਫੜ ਲਿਆ,VOL
Relative,ببلو جس نے گڑیا گما دی,Bablu who lost the doll,ببلو جنّے گڈی گما دتی,ਬਬਲੂ ਜਿਨ੍ਹੇ ਗੱਡੀ ਗੁਆ ਦਿੱਤੀ,VOL
Relative,استاد جس نے دروازہ کھسکا دیا,the teacher who moved the door,استاد جنّے بوہا کھسکا دتا,ਉਸਤਾਦ ਜਿਨ੍ਹੇ ਬੂਹਾ ਖਸਕਾ ਦਿੱਤਾ,VOL
Relative,لڑکے جس نے موبائل توڑ دیا,the boy who broke the phone,منڈے جنّے موبائل توڑ دِتا,ਮੁੰਡੇ ਜਿਨ੍ਹੇ ਮੋਬਾਈਲ ਤੋੜ ਦਿੱਤਾ,VOL
Relative,لڑکی جس نے گلدان گندا کر دیا,the girl who dirtied the vase,کُڑی جنّے گلدان گندا کر دتا,ਕੁੜੀ ਜਿਨ੍ਹੇ ਗੁਲਦਾਨ ਗੰਦਾ ਕਰ ਦਿੱਤਾ,VOL
Relative,موٹو جس نے گاڑی جلا دی,Motu who burned the car,موٹو جنّے گڈّی ساڑ دِتی,ਮੋਟੂ ਜਿਨ੍ਹੇ ਗੱਡੀ ਸਾੜ ਦਿੱਤੀ,VOL
Relative,لڑکی جس نے پنسل چھوڑ دی,the girl who let go of the pencil,کُڑی جنّے پنسل چھڈ دِتی,ਕੁੜੀ ਜਿਨ੍ਹੇ ਪੈਨਸਿਲ ਛੱਡ ਦਿੱਤੀ,VOL
Relative,لڑکے جس نے پنسل کھسکا دی,the boy who moved the pencil,منڈے جنّے پنسل کھسکا دتی,ਮੁੰਡੇ ਜਿਨ੍ਹੇ ਪੈਨਸਿਲ ਖਸਕਾ ਦਿੱਤੀ,VOL
Relative,راجہ جس نے کپ پکڑ لیا,the king who caught the cup,راجا جنّے کپ پھڑ لیا,ਰਾਜਾ ਜਿਨ੍ਹੇ ਕਪ ਫੜ ਲਿਆ,VOL
Relative,لڑکی جس نے چابی کھسکا دی,the girl who moved the key,کُڑی جنّے کنجی کھسکا دتی,ਕੁੜੀ ਜਿਨ੍ਹੇ ਕੁੰਜੀ ਖਸਕਾ ਦਿੱਤੀ,VOL
Relative,فاطمہ جس نے کھلونا پکڑ لیا,Fatima who caught the toy,فاطمہ جنّے کھڈونا پھڑ لیا,ਫਾਤਿਮਾ ਜਿਨ੍ਹੇ ਖਿਡੌਣਾ ਫੜ ਲਿਆ,VOL
Relative,لڑکی جس نے صراحی کھسکا دی,the girl who moved the pitcher,کُڑی جنّے صراحی کھسکا دتی,ਕੁੜੀ ਜਿਨ੍ਹੇ ਸੁਰਾਹੀ ਖਸਕਾ ਦਿੱਤੀ,VOL
Relative,راجہ جس نے چابی الٹا دی,the king who flipped the key,راجا جنّے کنجی الٹا دتی,ਰਾਜਾ ਜਿਨ੍ਹੇ ਕੁੰਜੀ ਉਲਟਾ ਦਿੱਤੀ,VOL
Relative,راجہ جس نے دروازہ کھسکا دیا,the king who moved the door,راجا جنّے بوہا کھسکا دتا,ਰਾਜਾ ਜਿਨ੍ਹੇ ਬੂਹਾ ਖਸਕਾ ਦਿੱਤਾ,VOL
Relative,موٹو جس نے صراحی توڑ دی تھی,Motu who broke the pitcher,موٹو جنّے صراحی توڑ دِتی سی,ਮੋਟੂ ਜਿਨ੍ਹੇ ਸੁਰਾਹੀ ਤੋੜ ਦਿੱਤੀ ਸੀ,VOL
Relative,راجہ جس نے کتاب الٹا دی,the king who flipped the book,راجا جنّے کتاب الٹا دتی,ਰਾਜਾ ਜਿਨ੍ਹੇ ਕਿਤਾਬ ਉਲਟਾ ਦਿੱਤੀ,VOL
Relative,لڑکی جس نے گلدان گرا دیا,the girl who dropped the vase,کُڑی جنّے گلدان ڈھا دِتا,ਕੁੜੀ ਜਿਨ੍ਹੇ ਗੁਲਦਾਨ ਢਾਹ ਦਿੱਤਾ,VOL
Relative,طالبہ جس نے کھلونا جلا دیا,the student who burned the toy,شاگرد جنّے کھڈونا ساڑ دِتا,ਸ਼ਾਗਿਰਦ ਜਿਨ੍ਹੇ ਖਿਡੌਣਾ ਸਾੜ ਦਿੱਤਾ,VOL
Relative,ثنا جس نے قلم توڑ دیا,Sana who broke the pen,ثنا جنّے قلم توڑ دِتا,ਸਨਾ ਜਿਨ੍ਹੇ ਕਲਮ ਤੋੜ ਦਿੱਤਾ,VOL
Relative,استاد جس نے قلم پکڑ لیا,the teacher who caught the pen,استاد جنّے قلم پھڑ لیا,ਉਸਤਾਦ ਜਿਨ੍ਹੇ ਕਲਮ ਫੜ ਲਿਆ,VOL
Relative,استاد جس نے کھلونا جلا دیا,the teacher who burned the toy,استاد جنّے کھڈونا ساڑ دِتا,ਉਸਤਾਦ ਜਿਨ੍ਹੇ ਖਿਡੌਣਾ ਸਾੜ ਦਿੱਤਾ,VOL
Relative,راجہ جس نے کھلونا جلا دیا,the king who burned the toy,راجا جنّے کھڈونا ساڑ دِتا,ਰਾਜਾ ਜਿਨ੍ਹੇ ਖਿਡੌਣਾ ਸਾੜ ਦਿੱਤਾ,VOL
Relative,لڑکے جس نے چابی توڑ دی تھی,the boy who broke the key,منڈے جنّے کنجی توڑ دِتی سی,ਮੁੰਡੇ ਜਿਨ੍ਹੇ ਕੁੰਜੀ ਤੋੜ ਦਿੱਤੀ ਸੀ,VOL
Relative,موٹو جس نے کپ گندا کر دیا,Motu who dirtied the cup,موٹو جنّے کپ گندا کر دتا,ਮੋਟੂ ਜਿਨ੍ਹੇ ਕਪ ਗੰਦਾ ਕਰ ਦਿੱਤਾ,VOL
Relative,استاد جس نے گلدان پکڑ لیا,the teacher who caught the vase,استاد جنّے گلدان پھڑ لیا,ਉਸਤਾਦ ਜਿਨ੍ਹੇ ਗੁਲਦਾਨ ਫੜ ਲਿਆ,VOL
Relative,احمد جس نے چابی الٹا دی,Ahmed who flipped the key,احمد جنّے کنجی الٹا دتی,ਅਹਮਦ ਜਿਨ੍ਹੇ ਕੁੰਜੀ ਉਲਟਾ ਦਿੱਤੀ,VOL
Relative,لڑکی جس نے چابی گرا دی,the girl who dropped the key,کُڑی جنّے کنجی ڈھا دِتی,ਕੁੜੀ ਜਿਨ੍ਹੇ ਕੁੰਜੀ ਢਾਹ ਦਿੱਤੀ,VOL
Relative,استاد جس نے گاڑی گما دی,the teacher who lost the car,استاد جنّے گڈّی گما دتی,ਉਸਤਾਦ ਜਿਨ੍ਹੇ ਗੱਡੀ ਗੁਆ ਦਿੱਤੀ,VOL
Relative,علی جس نے کھلونا پکڑ لیا,Ali who caught the toy,علی جنّے کھڈونا پھڑ لیا,ਅਲੀ ਜਿਨ੍ਹੇ ਖਿਡੌਣਾ ਫੜ ਲਿਆ,VOL
Relative,لڑکی جس نے چابی توڑ دی تھی,the girl who broke the key,کُڑی جنّے کنجی توڑ دِتی سی,ਕੁੜੀ ਜਿਨ੍ਹੇ ਕੁੰਜੀ ਤੋੜ ਦਿੱਤੀ ਸੀ,VOL
Relative,رانی جس نے چابی گندی کر دی,the queen who dirtied the key,رانی جنّے کنجی گندی کر دتی,ਰਾਨੀ ਜਿਨ੍ਹੇ ਕੁੰਜੀ ਗੰਦੀ ਕਰ ਦਿੱਤੀ,VOL
Relative,فاطمہ جس نے گڑیا چھوڑ دی,Fatima who let go of the doll,فاطمہ جنّے گڈی چھڈ دِتی,ਫਾਤਿਮਾ ਜਿਨ੍ਹੇ ਗੱਡੀ ਛੱਡ ਦਿੱਤੀ,VOL
Scrambled,گرا دیا استاد نے دروازہ,the teacher the teacher the door,ڈھا دِتا استاد نے بوہا,ਢਾਹ ਦਿੱਤਾ ਉਸਤਾਦ ਨੇ ਬੂਹਾ,VOL
Scrambled,گاڑی موٹو نے گرا دی,Motu dropped the car,گڈّی موٹو نے ڈھا دِتی,ਗੱਡੀ ਮੋਟੂ ਨੇ ਢਾਹ ਦਿੱਤੀ,VOL
Scrambled,موبائل ببلو نے چھوڑ دیا,Bablu released the phone,موبائل ببلو نے چھڈ دِتا,ਮੋਬਾਈਲ ਬਬਲੂ ਨੇ ਛੱਡ ਦਿੱਤਾ,VOL
Scrambled,گرا دیا رانی نے موبائل,the queen the queen the phone,ڈھا دِتا رانی نے موبائل,ਢਾਹ ਦਿੱਤਾ ਰਾਨੀ ਨੇ ਮੋਬਾਈਲ,VOL
Scrambled,کھلونا ثنا نے کھسکا دیا,Sana moved the toy,کھڈونا ثنا نے کھسکا دتا,ਖਿਡੌਣਾ ਸਨਾ ਨੇ ਖਸਕਾ ਦਿੱਤਾ,VOL
Scrambled,توڑ دی تھی ثنا نے صراحی,Sana Sana the pitcher,توڑ دِتی سی ثنا نے صراحی,ਤੋੜ ਦਿੱਤੀ ਸੀ ਸਨਾ ਨੇ ਸੁਰਾਹੀ,VOL
Scrambled,صراحی راجہ نے گرا دی,the king dropped the pitcher,صراحی راجا نے ڈھا دِتی,ਸੁਰਾਹੀ ਰਾਜਾ ਨੇ ਢਾਹ ਦਿੱਤੀ,VOL
Scrambled,جلا دی لڑکے نے کتاب,the boy the boy the book,ساڑ دِتی منڈے نے کتاب,ਸਾੜ ਦਿੱਤੀ ਮੁੰਡੇ ਨੇ ਕਿਤਾਬ,VOL
Scrambled,گندا کر دیا ثنا نے کھلونا,Sana Sana the toy,گندا کر دتا ثنا نے کھڈونا,ਗੰਦਾ ਕਰ ਦਿੱਤਾ ਸਨਾ ਨੇ ਖਿਡੌਣਾ,VOL
Scrambled,گندی کر دی لڑکے نے گاڑی,the boy the boy the car,گندی کر دتی منڈے نے گڈّی,ਗੰਦੀ ਕਰ ਦਿੱਤੀ ਮੁੰਡੇ ਨੇ ਗੱਡੀ,VOL
Scrambled,گما دیا لڑکے نے موبائل,the boy the boy the phone,گما دتا منڈے نے موبائل,ਗੁਆ ਦਿੱਤਾ ਮੁੰਡੇ ਨੇ ਮੋਬਾਈਲ,VOL
Scrambled,جلا دیا فاطمہ نے کپ,Fatima Fatima the cup,ساڑ دِتا فاطمہ نے کپ,ਸਾੜ ਦਿੱਤਾ ਫਾਤਿਮਾ ਨੇ ਕਪ,VOL
Scrambled,کھسکا دیا ببلو نے موبائل,Bablu Bablu the phone,کھسکا دتا ببلو نے موبائل,ਖਸਕਾ ਦਿੱਤਾ ਬਬਲੂ ਨੇ ਮੋਬਾਈਲ,VOL
Scrambled,گندی کر دی طالبہ نے گڑیا,the student the student the doll,گندی کر دتی شاگرد نے گڈی,ਗੰਦੀ ਕਰ ਦਿੱਤੀ ਸ਼ਾਗਿਰਦ ਨੇ ਗੱਡੀ,VOL
Scrambled,توڑ دیا لڑکی نے قلم,the girl the girl the pen,توڑ دِتا کُڑی نے قلم,ਤੋੜ ਦਿੱਤਾ ਕੁੜੀ ਨੇ ਕਲਮ,VOL
Scrambled,کھسکا دیا ثنا نے موبائل,Sana Sana the phone,کھسکا دتا ثنا نے موبائل,ਖਸਕਾ ਦਿੱਤਾ ਸਨਾ ਨੇ ਮੋਬਾਈਲ,VOL
Scrambled,جلا دیا علی نے موبائل,Ali Ali the phone,ساڑ دِتا علی نے موبائل,ਸਾੜ ਦਿੱਤਾ ਅਲੀ ਨੇ ਮੋਬਾਈਲ,VOL
Scrambled,پکڑ لیا رانی نے گلدان,the queen the queen the vase,پھڑ لیا رانی نے گلدان,ਫੜ ਲਿਆ ਰਾਨੀ ਨੇ ਗੁਲਦਾਨ,VOL
Scrambled,گلدان ببلو نے توڑ دیا,Bablu broke the vase,گلدان ببلو نے توڑ دِتا,ਗੁਲਦਾਨ ਬਬਲੂ ਨੇ ਤੋੜ ਦਿੱਤਾ,VOL
Scrambled,گندی کر دی احمد نے پنسل,Ahmed Ahmed the pencil,گندی کر دتی احمد نے پنسل,ਗੰਦੀ ਕਰ ਦਿੱਤੀ ਅਹਮਦ ਨੇ ਪੈਨਸਿਲ,VOL
Scrambled,گندی کر دی لڑکی نے گڑیا,the girl the girl the doll,گندی کر دتی کُڑی نے گڈی,ਗੰਦੀ ਕਰ ਦਿੱਤੀ ਕੁੜੀ ਨੇ ਗੱਡੀ,VOL
Scrambled,گندی کر دی ببلو نے گاڑی,Bablu Bablu the car,گندی کر دتی ببلو نے گڈّی,ਗੰਦੀ ਕਰ ਦਿੱਤੀ ਬਬਲੂ ਨੇ ਗੱਡੀ,VOL
Scrambled,کھسکا دی ثنا نے چابی,Sana Sana the key,کھسکا دتی ثنا نے کنجی,ਖਸਕਾ ਦਿੱਤੀ ਸਨਾ ਨੇ ਕੁੰਜੀ,VOL
Scrambled,گاڑی احمد نے توڑ دی تھی,Ahmed broke the car,گڈّی احمد نے توڑ دِتی سی,ਗੱਡੀ ਅਹਮਦ ਨੇ ਤੋੜ ਦਿੱਤੀ ਸੀ,VOL
Scrambled,جلا دی فاطمہ نے گاڑی,Fatima Fatima the car,ساڑ دِتی فاطمہ نے گڈّی,ਸਾੜ ਦਿੱਤੀ ਫਾਤਿਮਾ ਨੇ ਗੱਡੀ,VOL
Scrambled,گرا دی ببلو نے صراحی,Bablu Bablu the pitcher,ڈھا دِتی ببلو نے صراحی,ਢਾਹ ਦਿੱਤੀ ਬਬਲੂ ਨੇ ਸੁਰਾਹੀ,VOL
Scrambled,کھسکا دیا لڑکے نے قلم,the boy the boy the pen,کھسکا دتا منڈے نے قلم,ਖਸਕਾ ਦਿੱਤਾ ਮੁੰਡੇ ਨੇ ਕਲਮ,VOL
Scrambled,الٹا دی طالبہ نے گاڑی,the student the student the car,الٹا دتی شاگرد نے گڈّی,ਉਲਟਾ ਦਿੱਤੀ ਸ਼ਾਗਿਰਦ ਨੇ ਗੱਡੀ,VOL
Scrambled,قلم رانی نے گرا دیا,the queen dropped the pen,قلم رانی نے ڈھا دِتا,ਕਲਮ ਰਾਨੀ ਨੇ ਢਾਹ ਦਿੱਤਾ,VOL
Scrambled,گندی کر دی علی نے گاڑی,Ali Ali the car,گندی کر دتی علی نے گڈّی,ਗੰਦੀ ਕਰ ਦਿੱਤੀ ਅਲੀ ਨੇ ਗੱਡੀ,VOL
Scrambled,گندا کر دیا استاد نے گلدان,the teacher the teacher the vase,گندا کر دتا استاد نے گلدان,ਗੰਦਾ ਕਰ ਦਿੱਤਾ ਉਸਤਾਦ ਨੇ ਗੁਲਦਾਨ,VOL
Scrambled,گرا دی لڑکے نے گڑیا,the boy the boy the doll,ڈھا دِتی منڈے نے گڈی,ਢਾਹ ਦਿੱਤੀ ਮੁੰਡੇ ਨੇ ਗੱਡੀ,VOL
Scrambled,جلا دی موٹو نے صراحی,Motu Motu the pitcher,ساڑ دِتی موٹو نے صراحی,ਸਾੜ ਦਿੱਤੀ ਮੋਟੂ ਨੇ ਸੁਰਾਹੀ,VOL
Scrambled,گلدان علی نے گما دیا,Ali lost the vase,گلدان علی نے گما دتا,ਗੁਲਦਾਨ ਅਲੀ ਨੇ ਗੁਆ ਦਿੱਤਾ,VOL
Scrambled,الٹا دیا طالبہ نے کھلونا,the student the student the toy,الٹا دتا شاگرد نے کھڈونا,ਉਲਟਾ ਦਿੱਤਾ ਸ਼ਾਗਿਰਦ ਨੇ ਖਿਡੌਣਾ,VOL
Scrambled,قلم راجہ نے توڑ دیا,the king broke the pen,قلم راجا نے توڑ دِتا,ਕਲਮ ਰਾਜਾ ਨੇ ਤੋੜ ਦਿੱਤਾ,VOL
Scrambled,گندا کر دیا استاد نے قلم,the teacher the teacher the pen,گندا کر دتا استاد نے قلم,ਗੰਦਾ ਕਰ ਦਿੱਤਾ ਉਸਤਾਦ ਨੇ ਕਲਮ,VOL
Scrambled,گڑیا استاد نے الٹا دی,the teacher flipped the doll,گڈی استاد نے الٹا دتی,ਗੱਡੀ ਉਸਤਾਦ ਨੇ ਉਲਟਾ ਦਿੱਤੀ,VOL
Scrambled,گما دی استاد نے صراحی,the teacher the teacher the pitcher,گما دتی استاد نے صراحی,ਗੁਆ ਦਿੱਤੀ ਉਸਤਾਦ ਨੇ ਸੁਰਾਹੀ,VOL
Scrambled,گلدان علی نے کھسکا دیا,Ali moved the vase,گلدان علی نے کھسکا دتا,ਗੁਲਦਾਨ ਅਲੀ ਨੇ ਖਸਕਾ ਦਿੱਤਾ,VOL
Scrambled,جلا دیا استاد نے کھلونا,the teacher the teacher the toy,ساڑ دِتا استاد نے کھڈونا,ਸਾੜ ਦਿੱਤਾ ਉਸਤਾਦ ਨੇ ਖਿਡੌਣਾ,VOL
Scrambled,پکڑ لی علی نے صراحی,Ali Ali the pitcher,پھڑ لئی علی نے صراحی,ਫੜ ਲਈ ਅਲੀ ਨੇ ਸੁਰਾਹੀ,VOL
Scrambled,چابی لڑکے نے گرا دی,the boy dropped the key,کنجی منڈے نے ڈھا دِتی,ਕੁੰਜੀ ਮੁੰਡੇ ਨੇ ਢਾਹ ਦਿੱਤੀ,VOL
Scrambled,گما دیا ببلو نے کپ,Bablu Bablu the cup,گما دتا ببلو نے کپ,ਗੁਆ ਦਿੱਤਾ ਬਬਲੂ ਨੇ ਕਪ,VOL
Scrambled,چابی لڑکی نے توڑ دی تھی,the girl broke the key,کنجی کُڑی نے توڑ دِتی سی,ਕੁੰਜੀ ਕੁੜੀ ਨੇ ਤੋੜ ਦਿੱਤੀ ਸੀ,VOL
Scrambled,چھوڑ دیا راجہ نے کھلونا,the king the king the toy,چھڈ دِتا راجا نے کھڈونا,ਛੱਡ ਦਿੱਤਾ ਰਾਜਾ ਨੇ ਖਿਡੌਣਾ,VOL
Scrambled,گڑیا طالبہ نے جلا دی,the student burned the doll,گڈی شاگرد نے ساڑ دِتی,ਗੱਡੀ ਸ਼ਾਗਿਰਦ ਨੇ ਸਾੜ ਦਿੱਤੀ,VOL
Scrambled,توڑ دی تھی ببلو نے صراحی,Bablu Bablu the pitcher,توڑ دِتی سی ببلو نے صراحی,ਤੋੜ ਦਿੱਤੀ ਸੀ ਬਬਲੂ ਨੇ ਸੁਰਾਹੀ,VOL
Scrambled,گندا کر دیا استاد نے موبائل,the teacher the teacher the phone,گندا کر دتا استاد نے موبائل,ਗੰਦਾ ਕਰ ਦਿੱਤਾ ਉਸਤਾਦ ਨੇ ਮੋਬਾਈਲ,VOL
Scrambled,پکڑ لی رانی نے کتاب,the queen the queen the book,پھڑ لئی رانی نے کتاب,ਫੜ ਲਈ ਰਾਨੀ ਨੇ ਕਿਤਾਬ,VOL
Scrambled,گاڑی فاطمہ نے الٹا دی,Fatima flipped the car,گڈّی فاطمہ نے الٹا دتی,ਗੱਡੀ ਫਾਤਿਮਾ ਨੇ ਉਲਟਾ ਦਿੱਤੀ,VOL
Scrambled,چابی احمد نے پکڑ لی,Ahmed caught the key,کنجی احمد نے پھڑ لئی,ਕੁੰਜੀ ਅਹਮਦ ਨੇ ਫੜ ਲਈ,VOL
Scrambled,قلم لڑکے نے چھوڑ دیا,the boy released the pen,قلم منڈے نے چھڈ دِتا,ਕਲਮ ਮੁੰਡੇ ਨੇ ਛੱਡ ਦਿੱਤਾ,VOL
Scrambled,کپ راجہ نے جلا دیا,the king burned the cup,کپ راجا نے ساڑ دِتا,ਕਪ ਰਾਜਾ ਨੇ ਸਾੜ ਦਿੱਤਾ,VOL
Scrambled,چھوڑ دیا فاطمہ نے کھلونا,Fatima Fatima the toy,چھڈ دِتا فاطمہ نے کھڈونا,ਛੱਡ ਦਿੱਤਾ ਫਾਤਿਮਾ ਨੇ ਖਿਡੌਣਾ,VOL
Scrambled,الٹا دیا استاد نے قلم,the teacher the teacher the pen,الٹا دتا استاد نے قلم,ਉਲਟਾ ਦਿੱਤਾ ਉਸਤਾਦ ਨੇ ਕਲਮ,VOL
Scrambled,جلا دیا علی نے کھلونا,Ali Ali the toy,ساڑ دِتا علی نے کھڈونا,ਸਾੜ ਦਿੱਤਾ ਅਲੀ ਨੇ ਖਿਡੌਣਾ,VOL
Scrambled,گندی کر دی راجہ نے گاڑی,the king the king the car,گندی کر دتی راجا نے گڈّی,ਗੰਦੀ ਕਰ ਦਿੱਤੀ ਰਾਜਾ ਨੇ ਗੱਡੀ,VOL
Scrambled,کپ ببلو نے گندا کر دیا,Bablu dirtied the cup,کپ ببلو نے گندا کر دتا,ਕਪ ਬਬਲੂ ਨੇ ਗੰਦਾ ਕਰ ਦਿੱਤਾ,VOL
Scrambled,پنسل استاد نے گرا دی,the teacher dropped the pencil,پنسل استاد نے ڈھا دِتی,ਪੈਨਸਿਲ ਉਸਤਾਦ ਨੇ ਢਾਹ ਦਿੱਤੀ,VOL
Scrambled,گلدان رانی نے توڑ دیا,the queen broke the vase,گلدان رانی نے توڑ دِتا,ਗੁਲਦਾਨ ਰਾਨੀ ਨੇ ਤੋੜ ਦਿੱਤਾ,VOL
Scrambled,پکڑ لیا راجہ نے دروازہ,the king the king the door,پھڑ لیا راجا نے بوہا,ਫੜ ਲਿਆ ਰਾਜਾ ਨੇ ਬੂਹਾ,VOL
Scrambled,کھسکا دی لڑکی نے پنسل,the girl the girl the pencil,کھسکا دتی کُڑی نے پنسل,ਖਸਕਾ ਦਿੱਤੀ ਕੁੜੀ ਨੇ ਪੈਨਸਿਲ,VOL
Scrambled,جلا دیا طالبہ نے موبائل,the student the student the phone,ساڑ دِتا شاگرد نے موبائل,ਸਾੜ ਦਿੱਤਾ ਸ਼ਾਗਿਰਦ ਨੇ ਮੋਬਾਈਲ,VOL
Scrambled,گرا دیا احمد نے کپ,Ahmed Ahmed the cup,ڈھا دِتا احمد نے کپ,ਢਾਹ ਦਿੱਤਾ ਅਹਮਦ ਨੇ ਕਪ,VOL
Scrambled,چابی استاد نے چھوڑ دی,the teacher let go of the key,کنجی استاد نے چھڈ دِتی,ਕੁੰਜੀ ਉਸਤਾਦ ਨੇ ਛੱਡ ਦਿੱਤੀ,VOL
Scrambled,چابی علی نے گرا دی,Ali dropped the key,کنجی علی نے ڈھا دِتی,ਕੁੰਜੀ ਅਲੀ ਨੇ ਢਾਹ ਦਿੱਤੀ,VOL
Scrambled,گرا دیا فاطمہ نے گلدان,Fatima Fatima the vase,ڈھا دِتا فاطمہ نے گلدان,ਢਾਹ ਦਿੱਤਾ ਫਾਤਿਮਾ ਨੇ ਗੁਲਦਾਨ,VOL
Scrambled,موبائل رانی نے کھسکا دیا,the queen moved the phone,موبائل رانی نے کھسکا دتا,ਮੋਬਾਈਲ ਰਾਨੀ ਨੇ ਖਸਕਾ ਦਿੱਤਾ,VOL
Scrambled,گاڑی استاد نے گما دی,the teacher lost the car,گڈّی استاد نے گما دتی,ਗੱਡੀ ਉਸਤਾਦ ਨੇ ਗੁਆ ਦਿੱਤੀ,VOL
Scrambled,کھلونا رانی نے گرا دیا,the queen dropped the toy,کھڈونا رانی نے ڈھا دِتا,ਖਿਡੌਣਾ ਰਾਨੀ ਨੇ ਢਾਹ ਦਿੱਤਾ,VOL
Scrambled,پکڑ لیا راجہ نے کھلونا,the king the king the toy,پھڑ لیا راجا نے کھڈونا,ਫੜ ਲਿਆ ਰਾਜਾ ਨੇ ਖਿਡੌਣਾ,VOL
Scrambled,گندی کر دی رانی نے پنسل,the queen the queen the pencil,گندی کر دتی رانی نے پنسل,ਗੰਦੀ ਕਰ ਦਿੱਤੀ ਰਾਨੀ ਨੇ ਪੈਨਸਿਲ,VOL
Scrambled,صراحی طالبہ نے پکڑ لی,the student caught the pitcher,صراحی شاگرد نے پھڑ لئی,ਸੁਰਾਹੀ ਸ਼ਾਗਿਰਦ ਨੇ ਫੜ ਲਈ,VOL
Scrambled,گندا کر دیا فاطمہ نے گلدان,Fatima Fatima the vase,گندا کر دتا فاطمہ نے گلدان,ਗੰਦਾ ਕਰ ਦਿੱਤਾ ਫਾਤਿਮਾ ਨੇ ਗੁਲਦਾਨ,VOL
Scrambled,کپ لڑکی نے پکڑ لیا,the girl caught the cup,کپ کُڑی نے پھڑ لیا,ਕਪ ਕੁੜੀ ਨੇ ਫੜ ਲਿਆ,VOL
Scrambled,گڑیا علی نے پکڑ لی,Ali caught the doll,گڈی علی نے پھڑ لئی,ਗੱਡੀ ਅਲੀ ਨੇ ਫੜ ਲਈ,VOL
